UKPRN,EstablishmentName
10000136,Addey and Stanhope School
10072591,Addingham Primary School
10014942,Addington School
10078013,Addison Primary School
10017503,Adel Beck
10072271,Adel Primary School
10068614,Adel St John the Baptist Church of England Primary School
10043357,Adelaide Heath Academy
10066347,Adelaide Primary School
10044264,Adelaide School
10047192,Adisham Church of England Primary School
10077701,Adlington Primary School
10057531,Adlington Primary School
10082242,Adlington St Paul's Church of England Primary School
10077995,Admiral Long Church of England Primary School
10045646,Admiral Lord Nelson School
10064658,Admirals Academy
10079003,Adswood Primary School
10075596,Advance Education
,Adwick Children's Centre
10078931,Adwick Primary School
10053087,Aegir - A Specialist Academy
,Aerodrome Children's Centre
10039699,Aerodrome Primary Academy
10017101,Afifah School
,AFNORTH International School
10008724,Afon Taf High School
,Afon-Y-Felin Primary School
,Agar Children's Centre
10070549,Ahavas Torah Boys Academy
10017275,Aidenswood
10084305,AIM Academy North London
10071839,Aim Habonim
10082235,Ainderby Steeple Church of England Primary School
10074682,Ainsdale St John's Church of England Primary School
10075311,Ainslie Wood Primary School
,Ainthorpe Children's Centre
10041520,Ainthorpe Primary School
10070133,Aintree Davenhill Primary School
10072320,Air Balloon Hill Primary School
,Aireborough Children's Centre
,Aireborough Children's Centre
10033306,Airedale Academy
,Airedale Children's Centre
10047907,Airedale Infant School
10047545,Airedale Junior School
10067547,Airmyn Park Primary School
10018441,Airthrie School With Hillfield Dyslexia Trust
10065479,Airy Hill Primary School
10079223,"Aiskew, Leeming Bar Church of England Primary School"
,Ajman Academy
10053815,Akaal Primary School
10071104,Akeley Wood Junior School
10008621,Akeley Wood Senior School
10072363,Akiva School
,Akrotiri Primary School
10061564,Akroydon Primary Academy
10008310,AKS Lytham
,Al Basma British School
10017841,Al Huda Academy (Jamia Al-Hudaa)
10014835,Al Huda Girls' School
10017140,Al Islah Girls' High School
10014836,Al Jamiatul Islamiyah
,Al Kafilah Damascus Shell School
10077580,Al Khair School
10071851,Al Mumin Primary and Secondary School
10014868,Al Risalah Secondary School
,Al Yasmina Academy
10080492,Al-Ameen Primary School
10039342,Al-Aqsa Schools Trust
10072362,Al-Ashraf Primary School
10015462,Al-Ashraf Secondary School for Girls
10017178,Al-Burhan Grammar School
,Al-Falah Academy
10037979,Al-Falah Primary School
10080478,Al-Furqaan Preparatory School
10075544,Al-Furqan Primary School
10043884,Al-Furqan Solihul
10079916,Al-Huda Primary School
10034089,Al-Ihsaan Community College
10079143,Al-Ikhlaas Primary School
10079943,Al-Islamia Institute for Education
10017125,Al-Khair Boys Secondary School
,Al-Khair Girls' School
,Al-Khair Preparatory School
10034448,Al-Madani Girls School
10079413,Al-Madani Independent Grammar School
10014815,Al-Mahad-Al-Islami
10018807,Al-Mizan School
10029125,Al-Noor Girls Secondary School
10074143,Al-Noor Primary School
10065245,Al-Noor Voluntary Aided Muslim Primary School
,Al-Risalah Boys School
10014872,Al-Sadiq School
,Al-Zahra School
10034856,Alameda Middle School
10071828,Alamiyah School
10078562,Alanbrooke School
,Alaw Primary School
10037518,Alban City School
10065027,Alban Wood Primary School and Nursery
10038067,Albany Academy
10072802,Albany Infant and Nursery School
10075111,Albany Junior School
,Albany Primary School
10082248,Albany PRU
10075277,Albany Village Primary School
10069595,Albemarle Primary School
10046201,Albert Bradbeer Primary Academy
,Albert C.P. School
10080378,Albert Pritchard Infant School
,Albert Road Children's Centre
10061953,Albert Village Primary School
10074622,Albion Primary School
10075477,Albourne CofE Primary School
10017199,Albright Education Centre
10073904,Albrighton Primary School & Nursery
10079251,Alburgh with Denton Church of England Primary School
10078504,Albury Church of England Voluntary Aided Primary School
10034868,Alcester Academy
,Alcester and District Children's Centre
10033336,Alcester Grammar School
,Alchemy School
10078907,Alconbury CofE Primary School
10073100,Aldborough Primary School
10035252,Aldborough Primary School
10079519,Aldbrough Primary School
10070383,Aldbury Church of England Primary and Nursery School
10047078,Alde Valley Academy
10063841,Aldeburgh Primary School
10018524,Alder Bridge School
10074170,Alder Brook
10014785,Alder Community High School
10077538,Alder Coppice Primary School
10014787,Alder Grange School
10071331,Alderbrook Primary School
10034629,Alderbrook School
10074747,Alderbury and West Grimstead Church of England Primary School
10014980,Aldercar High School
10082247,Aldercar Infant School
10000202,Alderley Edge School for Girls
10067575,Alderman Bolton Community Primary School
10063723,Alderman Cogan's Church of England Primary Academy
,Alderman Davies CIW Primary School
10033370,Alderman Jacobs School
10015024,Alderman Knight School
10077870,Alderman Payne Primary School
10065395,Alderman Peel High School
10065442,Alderman Pounder Infant and Nursery School
10076156,Alderman Richard Hallam Primary School
10039026,Alderman White School
10076544,Alderman's Green Community Primary School
10075752,Aldermaston C.E. Primary School
10069144,Aldermoor Farm Primary School
,Alders and Chestnuts Children's Centre
,Aldersbrook Children's Centre
10076609,Aldersbrook Primary School
10040003,Aldersley High School
10000205,Alderwasley Hall School
10064860,Alderwood Academy
,Alderwood and Greenacres Children's Centre
10063107,Alderwood Primary School
10064119,Alderwood School
10017566,Aldine House Secure Children's Centre
10071174,Aldingbourne Primary School
10073112,Aldington Primary School
10036935,Aldridge School - A Science College
10081054,AldridgeUTC@MediaCityUK
10072465,Aldrington CofE Primary School
10018775,Aldro School
10074557,Aldryngton Primary School
10018860,Aldwickbury School
10007886,Aldworth School
10078975,Aldwyn Primary School
10040774,Alec Hunter Academy
10015574,Alec Reed Academy
,Alex Park Democratic School
10077747,Alexander First School
10069002,Alexander Hosea Primary School
10054301,Alexander McLeod Primary School
,Alexandra C.P. School
,Alexandra Children's Centre
10044300,Alexandra Infant School
10063119,Alexandra Infants' School
10043021,Alexandra Junior School
10062642,Alexandra Junior School
,Alexandra Nursery School
10071462,Alexandra Park Junior School
10072330,Alexandra Park Primary School
10034567,Alexandra Park School
10075308,Alexandra Primary School
10070278,Alexandra Primary School
10078747,Alexandra School
10043085,Alexandra School
,Alexandra Start Well Children's Centre
,Alford Children's Centre
10078633,Alford Primary School
10072913,Alfred Salter Primary School
10075121,"Alfred Street Junior School, Rushden"
10068913,Alfred Sutton Primary School
,Alfreton Children's Centre
,Alfreton Nursery School
10015683,Alfreton Park Community Special School
10073247,Alfriston School
10036322,Alfriston School
10065131,"Alice Ingham Catholic Primary School, A Voluntary Academy"
,Alice Model Nursery School
,Alice's View Children's Centre
10079525,Alkborough Primary School
10070059,Alkrington Primary School
10083022,All Cannings Church of England Primary School
10037460,All Faiths Children's Academy
10040002,All Hallows Catholic College
10017084,All Hallows Catholic High School
10000215,All Hallows Catholic School
10077942,All Hallows CofE Primary School
10014878,All Hallows RC High School
10018764,All Hallows School
10077564,All Hallows' CofE (VA) Primary School
10075947,All Saint's Richmond Hill Church of England Primary School
10047616,All Saints Academy
10037712,All Saints Academy Darfield
10027758,All Saints Academy Dunstable
10078101,All Saints Anglican/Methodist Primary School
10045179,All Saints Babbacombe CofE Primary School
10068733,All Saints Bedworth C/E Primary School & Nursery
10073957,All Saints Benhilton CofE Primary School
,All Saints C.I.W. Primary School
,All Saints C.I.W. Primary School
10065082,All Saints Carshalton Church of England Primary School
10017353,All Saints Catholic College
10041818,All Saints Catholic College
10000219,All Saints Catholic College Specialist in Humanities
10027911,All Saints Catholic High School
10075211,All Saints Catholic Primary School
10083340,"All Saints Catholic Primary School, a Catholic Voluntary Academy"
10078697,"All Saints Catholic Primary School, Golborne, Wigan"
10000222,All Saints Catholic School and Technology College
10045639,All Saints Catholic Voluntary Academy
10080990,All Saints Catholic Voluntary Academy
10048207,All Saints CE Junior School
,All Saints Centre
10072009,All Saints CEVA Primary School and Nursery
10079360,All Saints Church of England (Aided) Primary School
10030495,All Saints Church of England Academy
10041280,All Saints Church of England Academy
10066954,All Saints Church of England Academy
10078338,All Saints Church of England Aided Infant School
10078529,All Saints Church of England Aided Junior School
10080628,All Saints Church of England Ceva Primary School Part of Flourish Federation
10084128,All Saints Church of England Infant Academy
10084127,All Saints Church of England Junior Academy
10074693,All Saints Church of England Primary School
10068558,All Saints Church of England Primary School
10075967,All Saints Church of England Primary School
10071554,All Saints Church of England Primary School
10053760,All Saints Church of England Primary School
10057833,All Saints Church of England Primary School
10068073,All Saints Church of England Primary School
10077368,"All Saints Church of England Primary School and Nursery, Bishop's Stortford"
10068673,All Saints Church of England Primary School Marple
10068542,All Saints Church of England Primary School Stockport
10071021,"All Saints Church of England Primary School, Bexhill"
10080202,"All Saints Church of England Primary School, Coalville"
10078487,"All Saints Church of England Primary School, Freshwater"
10067290,"All Saints Church of England Primary School, Laxfield"
10068060,"All Saints Church of England Primary School, Newmarket"
10063928,"All Saints Church of England Primary School, Sapcote"
10068587,"All Saints Church of England Primary School, Stand"
10053507,All Saints Church of England School
10078503,"All Saints Church of England Voluntary Aided Primary School, Datchworth"
10072430,"All Saints Church of England Voluntary Aided Primary School, Great Oakley"
10079230,"All Saints Church of England Voluntary Aided Primary School, Winfarthing"
10073812,All Saints Church of England Voluntary Controlled Primary School
10062508,All Saints Church School
10075201,All Saints CofE (Aided) Primary School
10078758,All Saints CofE (C) First School
10079346,All Saints CofE (C) Primary School
10081948,All Saints CofE (C) Primary School
10079333,All Saints CofE (VC) Primary School
10067283,All Saints CofE Academy Denstone
10079623,All Saints CofE Aided Infant School
10081947,All Saints CofE First School
10063077,All Saints CofE Infant School
10078916,All Saints CofE Junior School
10063079,All Saints CofE Junior School
10079304,All Saints CofE Primary School
10073982,All Saints CofE Primary School
10073947,All Saints CofE Primary School
10071397,All Saints CofE Primary School
10068574,All Saints CofE Primary School
10045669,All Saints CofE Primary School
10079326,"All Saints CofE Primary School and Nursery, Nuneaton"
10084147,"All Saints CofE Primary School, Bednall"
10074187,"All Saints CofE Primary School, Horsham"
10077948,All Saints CofE VA Primary School
10079649,All Saints CofE VC Infants School
10083026,All Saints East Clevedon Church of England Primary School
10040875,All Saints Interchurch Academy
10035254,All Saints Junior School
10072441,All Saints Maldon Church of England Voluntary Controlled Primary School
10053787,All Saints Marsh CofE Academy
10047546,All Saints National Academy
10070079,All Saints Primary School
,All Saints Primary School
,All Saints R.C. Primary School
10014894,All Saints School
,All Saints Sure Start Children's Centre
10075557,All Saints Upton Church of England Voluntary Controlled Primary School
10029934,"All Saints' Academy, Cheltenham"
10072466,All Saints' and St Richard's Church of England Primary School
10037590,All Saints' Catholic High School
10078170,All Saints' Catholic Primary School
10069785,All Saints' Catholic Voluntary Aided Primary School
10075206,All Saints' Catholic Voluntary Aided Primary School
10083343,All Saints' Church of England Academy
10074728,All Saints' Church of England Primary School Blackheath
10072415,"All Saints' Church of England Voluntary Aided Primary School, Dovercourt"
10078839,"All Saints' Church of England Voluntary Controlled Primary School, Lawshall"
10070490,All Saints' CofE (Aided) Primary School
10062509,All Saints' CofE First School
10076282,All Saints' CofE Junior School
10073964,All Saints' CofE Primary School
10068642,All Saints' CofE Primary School
10073987,All Saints' CofE Primary School N20
10074716,All Saints' CofE Primary School NW2
10074012,"All Saints' CofE Primary School, Putney"
10074274,All Saints' CofE School
10068632,All Saints' CofE VA Junior and Infant School
,All Seasons and Seedlings Children's Centre
10083010,All Soul's Church of England Primary School
10079442,All Souls Catholic Primary School
10068561,All Souls Church of England Primary School
10074005,All Souls CofE Primary School
10073124,Allanson Street Primary School
10074651,Allen Edwards Primary School
10048913,Allenbourn Middle School
10041459,Allenby Primary School
10017903,Allenby Tutorial Trust
10043797,Allendale Primary School
,Allens Croft Nursery School
10070009,Allens Croft Primary School
,Allensbank Primary School
10047443,Allenton Primary School
10057822,Allerton Bywater Primary School
,Allerton Children's Centre
10079949,Allerton CofE Primary School
10000230,Allerton Grange School
10000231,Allerton High School
10076394,Allesley Hall Primary School
10076539,Allesley Primary School
10036749,Allestree Woodlands School
10071136,Alleyn Court Preparatory School
10008065,Alleyn's School
10043053,Alleyne's Academy
10071330,Allfarthing Primary School
10042690,Allhallows Primary Academy
10039700,Allington Primary School
10080177,Allington with Sedgebrook Church of England Primary School
10070430,Allithwaite CofE Primary School
10074347,Allonby Primary School
,Alltwen Primary School
10068809,Alma Park Primary School
10041642,Alma Primary
10080942,Alma Primary School
10069569,Almeley Primary School
10079052,Almond Hill Junior School
,Almondbury Children's Centre
10014912,Almondbury Community School
10075781,Almondsbury Church of England Primary School
10074852,Alne Primary School
,Alnwick/Rothbury Children's Centre
10064688,Aloeric Primary School
10070562,ALP Leicester
,Alperton Children's Centre
10038632,Alperton Community School
10077606,Alpha Preparatory School
10057837,Alphington Primary School
10079227,Alpington and Bergh Apton Church of England Voluntary Aided Primary School
10072112,Alresford Primary School
10073703,Alsager Highfields Community Primary School
10043054,Alsager School
10000250,Alsop High School Technology & Applied Learning Specialist College
10075825,"Alston Lane Catholic Primary School, Longridge"
10079821,Alston Primary School
10045446,Alston Primary School
10047452,Alt Academy
10014854,Alt Bridge School
10045888,Altarnun Primary School
10073516,Alternative Centre of Education
10016922,Alternative Education Service - The Beacon Centre
10065812,Alternative Home Tuition
,Alternative Learning Company
10080214,Altham St James Church of England Primary School
10069545,Althorpe and Keadby Primary School
,Altmore Childrens Centre
10071906,Altmore Infant School
10080446,Alton Infant School
10084600,Alton Park Junior School
10014928,Alton School
,Altrincham Children's Centre
10068522,Altrincham CofE (Aided) Primary School
10038678,Altrincham College
10032963,Altrincham Grammar School for Boys
10035168,Altrincham Grammar School for Girls
10075150,Altrincham Preparatory School
10037631,Altwood CofE Secondary School
10070956,Alumwell Infant School
10071483,Alumwell Junior School
,Alumwell Nursery School
,Alumwell Pleck Sure Start Children's Centre
10074520,Alvanley Primary School
,Alvaston Children's Centre
10076479,Alvaston Infant and Nursery School
10068490,Alvaston Junior Academy
10061611,Alvechurch CofE Middle School
10061624,Alveley Primary School
10075327,Alver Valley Infant and Nursery School
10079070,Alver Valley Junior School
10074259,Alverstoke Church of England Aided Junior School
10075330,Alverstoke Community Infant School
10075942,Alverthorpe St Paul's CofE (VA) School 3-11yrs
10077219,Alverton Primary School
10053788,Alverton Primary School
10075803,Alveston CofE Primary School
,Alway Primary
,Alwoodley Children's Centre
10072265,Alwoodley Primary School
10069748,Alwyn Infant  School
10081921,Amber Valley and Erewash Support Centre
10076125,Ambergate Primary School
10047150,Ambergate Sports College
10025465,Amberleigh Residential Therapeutic School
10070573,Amberleigh Therapeutic School
10076277,Amberley CofE Primary School
10071606,Amberley Parochial School
10077517,Amberley Primary School
10048265,Ambitious College
10080105,Amble First School
10080106,Amble Links First School
10069989,Amblecote Primary School
,Ambler Children's Centre
10078006,Ambler Primary School and Children's Centre
10049494,Ambleside CofE Primary School
10066697,Ambleside Primary School
,Ameina Community Education
,Amersham Family Centre
10035121,Amersham School
10035475,Amery Hill School
10074162,Amesbury Archer Primary School
10075558,Amesbury Church of England Voluntary Controlled Primary School
10018513,Amesbury School
,Amherst Primary School
10033038,Amherst School
10069220,Amington Heath Primary School and Nursery
10077659,Amotherby Community Primary School
10071589,Ampfield Church of England Primary School
10014957,Ampleforth College
10071618,Ampney Crucis Church of England Primary School
10071545,Amport Church of England Primary School
10014882,Amwell View School
,Amy Johnson Children's Centre (Clockhouse Roundshaw)
,Anagh Coar School
10080176,Ancaster CofE Primary School
10043086,Anchorsholme Primary Academy
10016938,Ancora House School
10015018,Andalusia Academy Bristol
10041538,Anderida Learning Centre
10076575,Anderton Park Primary School
10069937,Anderton Primary School
10071588,Andover Church of England Primary School
10069668,Andoversford Primary School
,Andreas School
10077238,Andrews Lane Primary School
10071537,Andrews' Endowed Church of England Primary School
,Anfield Children's Centre
10078259,Anfield Road Primary School
10048238,Angel Oak Academy
10067240,Angel Road Infant School
10067069,Angel Road Junior School
10039558,Anglesey Primary Academy
10076685,Anglesey Primary School
10000291,Anglia Ruskin University
,Anglican International School
10035817,Anglo European School
,Angmering Children & Family Centre
,Angram Bank Children's Centre
10068774,Angram Bank Primary School
10061362,Ankermoor Primary Academy
10074204,Anlaby Primary School
,Ann Bernadt Nursery School
,Ann Bernadt Nursery School & Children's Centre
10071609,Ann Cam Church of England Primary School
10072386,Ann Edwards Church of England Primary School
,Ann Tayler Children's Centre
10079140,Annan School
10082246,Annecy Catholic Primary School
10080802,Annemount School
10072486,Annesley Primary and Nursery School
10069681,Annfield Plain Infant School
10070661,Annfield Plain Junior School
10073189,Annie Lennard Primary School
,Annie Smith Sure Start Birkby Children's Centre
10075677,Anns Grove Primary School
10073300,Ansdell Primary School
10034101,Ansford Academy
10082987,Anson CofE Primary School
10071285,Anson Primary School
10080118,Anstey First School
10070627,Anstey Junior School
,Anstey Sure Start Children's Centre
10062851,Anston Brook Primary School
10047876,Anston Greenlands Primary School
10065444,Anston Park Infant School
10071447,Anston Park Junior School
10070882,Anthony Bek Community Primary School
10048961,Anthony Curton CofE Primary School
10000308,Anthony Gell School
,Anthony Road Children's Centre
10047015,Antingham and Southrepps Primary School
10075377,Anton Infant School
10052469,Anton Junior School
10048346,Antony Church of England School
10075913,Antrobus St Mark's CofE Primary School
10080495,Apex Primary School
10073090,Apley Wood Primary School
10037869,Apollo Partnership Trust T/A Castle Rock High School
10015364,Apple Orchard Slinfold
,Apple Tree Children's Centre
,Apple Vale Children's Centre
10034596,Appleby Grammar School
10073720,Appleby Primary School
10036343,Applecroft School
10077479,Appledore School
10014789,Applefields School
10018525,Appleford School
10040772,Applegarth Academy
10078570,Applegarth Primary School
10000320,Applemore College
10071544,Appleshaw St Peter's CofE Primary School
10065408,Appleton Academy
10076803,Appleton Church of England (A) Primary School
10043439,Appleton Primary School
10068084,Appleton Roebuck Primary School
10074390,Appleton Thorn Primary School
10074851,Appleton Wiske Community Primary School
,Appletree Children's Centre
10077810,Appletree Gardens First School
,Appletree Nursery School
10027377,Appletree School
10073448,Appley Bridge All Saints Church of England Primary School
10080759,Applied Educational Solutions
,APTCOO - A Place to Call Our Own
10073900,Aqueduct Primary School
10000330,Aquinas College
10064684,Aragon Primary School
10013787,Aran Hall School
10082361,Arboretum Primary School
,Arbory Primary School
10073482,Arbour House
10067073,Arbour Vale School
,Arbourthorne & Norfolk Park Children's Centre
10076658,Arbourthorne Community Primary School
10074534,Arbury Primary School
,Arc Oakbridge School
10080784,Arc School Ansley
10078258,Arc School Napton
10016163,Arc School Old Arley
10000339,Archbishop Beck Catholic College
10034625,Archbishop Benson CofE Primary School
10000340,Archbishop Blanch School
10042411,Archbishop Courtenay Primary School
10044821,Archbishop Cranmer Church of England Academy
10033331,"Archbishop Holgate's School, A Church of England Academy"
10082960,Archbishop Ilsley Catholic School
10008896,Archbishop McGrath Catholic High School
10081657,"Archbishop of York's CofE Voluntary Controlled Junior School, Bishopthorpe"
,Archbishop Rowan Williams CIW School
10077812,Archbishop Runcie CofE First School
10068303,Archbishop Sancroft High School (A Church of England Academy)
10024212,Archbishop Sentamu Academy
10069855,Archbishop Sumner Church of England Primary School
10014803,"Archbishop Temple School, A Church of England Specialist College"
10000344,Archbishop Tenison's CofE High School
10068503,Archbishop Tenison's School
10046456,Archbishop Wake Church of England Primary School
10074698,Archdeacon Cambridge's Church of England Primary School
,Archdeacon Griffiths C.I.W. Primary School
,Archdeacon John Lewis
10015406,Archers Brook SEMH Residential School
10078744,Archibald First School
10067236,Archibald Primary School
10016643,Archway
,Archway Children's Centre
10000349,Archway School
,Arddleen C.P. School
10077383,Ardeley St Lawrence Church of England Voluntary Aided Primary School
10031562,Arden
10000350,Arden College
10065512,Arden Fields
10080747,Arden Forest Infant School
10041832,Arden Grove Infant and Nursery School
10076552,Arden Primary School
10078988,Arden Primary School
10014955,Ardingly College
10071925,Ardleigh Green Infant School
10075045,Ardleigh Green Junior School
10037467,Ardley Hill Academy
,Ardsley and Tingley Children's Centre
,Ardvreck School
,Ardwick SureStart Children Centre
10024163,Area 51 Education Ltd
10066946,Arena Academy
10013831,Argoed High School
10014794,Argyle House School
10078065,Argyle Primary School
,Argyll House
10024211,Ark Academy
10080890,Ark Acton Academy
10042410,Ark Alexandra
10041998,Ark All Saints Academy
10035321,Ark Atwood Primary Academy
10041992,Ark Ayrton Primary Academy
10038604,Ark Bentworth Primary Academy
10046436,Ark Blacklands Primary Academy
10038719,Ark Bolingbroke Academy
10042925,Ark Boulton Academy
10041566,Ark Brunel Primary Academy
10015175,Ark Burlington Danes Academy
10053417,Ark Byron Primary Academy
10064728,Ark Castledown Primary Academy
10027975,Ark Charter Academy
,Ark Children's Centre
10035324,Ark Conway Primary Academy
10046440,Ark Dickens Primary Academy
10046437,Ark Elvin Academy
10024209,Ark Evelyn Grace Academy
10042416,Ark Franklin Primary Academy
10024133,Ark Globe Academy
10037569,Ark Greenwich Free School
10038460,Ark Isaac Newton Academy
10080904,ARK John Archer Primary Academy
10042318,Ark John Keats Academy
10021088,Ark King Solomon Academy
10037711,Ark Kings Academy
10046435,Ark Little Ridge Primary Academy
10034921,Ark Oval Primary Academy
10083729,Ark Pioneer Academy
10042405,Ark Priory Primary Academy
10038701,Ark Putney Academy
10027856,Ark St Alban's Academy
10042409,Ark Swift Primary Academy
10038362,Ark Tindal Primary Academy
10053410,Ark Victoria Academy
10021094,Ark Walworth Academy
10072059,Arkholme Church of England Primary School
10072609,Arksey Primary School
10070880,Arkwright Primary School
10084197,Arlecdon Primary School
,Arlesdene Nursery School and Pre-School
10070285,Arley Primary School
10078982,Arlies Primary School
10079820,Armathwaite School
10067897,Armfield Academy
10068576,Armitage CofE Primary School
,Armley Moor Children's Centre
10084997,Armley Park Primary School
10037595,Armthorpe Academy
10037638,Armthorpe Shaw Wood Academy
,Armthorpe Village Children's Centre
